Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Leveraging emerging technologies to address the crisis of aging concrete infrastructure,Journal of Infrastructure Preservation and Resilience,,,,10.1186/s43065-025-00147-x,Xianming Shi,2025,https://link.springer.com/article/10.1186/s43065-025-00147-x,Article
Declarative Programming for Microcontrollers - Datalog on Arduino,Declarative Programming and Knowledge Management,,,,10.1007/978-3-030-46714-2_9,Mario WenzelStefan Brass,2020,https://link.springer.com/chapter/10.1007/978-3-030-46714-2_9,Conference paper
3D-printed concrete with in-process embedded fiber-reinforced polymer grid reinforcement,Communications Engineering,,,,10.1038/s44172-026-00628-1,Hou-Qi SunShan-Shan XieJun-Jie ZengYan Zhuge,2026,https://link.springer.com/article/10.1038/s44172-026-00628-1,Article
Cooperative Dynamic Programmable Devices Using Actor Model for Embedded Systems of Microcontrollers,"Cooperative Design, Visualization, and Engineering",,,,10.1007/978-3-030-88207-5_13,Sylvia EnchevaSharil Tumin,2021,https://link.springer.com/chapter/10.1007/978-3-030-88207-5_13,Conference paper
Reducing the&#xa0;Power Consumption of&#xa0;IoT with&#xa0;Task-Oriented Programming,Trends in Functional Programming,,,,10.1007/978-3-031-21314-4_5,Sjoerd CrooijmansMart LubbersPieter Koopman,2022,https://link.springer.com/chapter/10.1007/978-3-031-21314-4_5,Conference paper
Towards Formal Verification of&#xa0;Hybrid Synchronous Programs with&#xa0;Refinement Types,NASA Formal Methods,,,,10.1007/978-3-032-28079-4_21,Serra Z. DaneJiawei ChenMarc PouzetJean-Baptiste Jeannin,2026,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_21,Conference paper
Being Lazy When It Counts,Functional and Logic Programming,,,,10.1007/978-981-97-2300-3_11,Chun Kit LamLionel Parreaux,2024,https://link.springer.com/chapter/10.1007/978-981-97-2300-3_11,Conference paper
FCDC: Firefly optimization algorithm based compression of deep CNN model with explainability,Cluster Computing,,,,10.1007/s10586-025-05697-z,Lopamudra MohantyMohit AgarwalVivek Mehta,2025,https://link.springer.com/article/10.1007/s10586-025-05697-z,Article
Transitions in Wireless Networks: Selected Results of Collaborative Research in MAKI,From Multimedia Communications to the Future Internet,,,,10.1007/978-3-031-71874-8_11,Bernd FreislebenOliver HinzMatthias HollickAnja KleinMira MeziniAndrea Ortiz,2024,https://link.springer.com/chapter/10.1007/978-3-031-71874-8_11,Chapter
Enhanced performance of 3D printed soft pneumatic actuators with polyjet fabricated lattice layers: A study on bending characteristics and stiffness,The International Journal of Advanced Manufacturing Technology,,,,10.1007/s00170-026-17827-x,Senthilkumar KaliappanManikanda Subramanian KrishnamurthyVeerakumar AdaikalasamyArun Prasath Varadharajan,2026,https://link.springer.com/article/10.1007/s00170-026-17827-x,Article
How machine learning can transform the future of concrete,Asian Journal of Civil Engineering,,,,10.1007/s42107-025-01281-3,Kaoutar MouzounAzzeddine BouyahyaouiHanane Moulay AbdelaliToufik CherradiKhadija BabaIlham MasrourNajib Zemed,2025,https://link.springer.com/article/10.1007/s42107-025-01281-3,Article
Fuel Rail Pressure Control Characteristics of a GDI High-Pressure Fuel Pump Using a Newly Developed Experimental System Controlled with a Microcontroller,International Journal of Automotive Technology,,,,10.1007/s12239-021-0045-z,Byoung Jin LeeChoong Hoon Lee,2021,https://link.springer.com/article/10.1007/s12239-021-0045-z,Article
Embedded Electronics,"Development of a Self-Sufficient, Wireless Sensor Node Using the Outer FML Layer as an Antenna",,,,10.1007/978-3-031-70648-6_4,Sarah Bornemann,2025,https://link.springer.com/chapter/10.1007/978-3-031-70648-6_4,Chapter
Advancing Connectivity and Security in SDN-IoT Networks Through Policy Management,Securing the Connected World,,,,10.1007/978-3-031-82826-3_7,Anjana JimmingtonSabu M. ThampiPreetam Mukherjee,2025,https://link.springer.com/chapter/10.1007/978-3-031-82826-3_7,Chapter
Automated Classification of Thermal Hot Spot Types from the VIIRS Satellite Data Using Machine Learning Techniques,Focus on Artificial Intelligence in Intelligent Systems Design,,,,10.1007/978-3-032-20749-4_16,Mary-Cielo LeónDavid Torres-GilWilliams CcompiWilfredo Ticona,2026,https://link.springer.com/chapter/10.1007/978-3-032-20749-4_16,Conference paper
Dynamic Resource Manager for&#xa0;Automating Deployments in&#xa0;the&#xa0;Computing Continuum,Euro-Par 2024: Parallel Processing Workshops,,,,10.1007/978-3-031-90200-0_23,Zahra Najafabadi SamaniMatthias GaThomas FahringerJuan Aznar PovedaStefan Pedratscher,2025,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_23,Conference paper
Application of machine learning and genetic algorithm framework for optimization of shape memory alloy embedded smart composites,Discover Applied Sciences,,,,10.1007/s42452-026-08622-0,Niranjan PattarSubhas F. PatilReena Y  AManjiri Ulhas KarandeM. ZubairuddinSonal BoraseShahid Tamboli,2026,https://link.springer.com/article/10.1007/s42452-026-08622-0,Article
Geo-Intelligent Wildfire Risk Prediction Using Machine Learning,Computers and Their Applications,,,,10.1007/978-3-032-29003-8_3,Subrata PaulRishita HazraSougata UtthasaniRudradip MukherjeeJannat Ara Ferdouse RayaAnirban MitraIndranil Roy,2027,https://link.springer.com/chapter/10.1007/978-3-032-29003-8_3,Conference paper
Programming Parallelism on FPGAs with <span>Eclat</span>,International Journal of Parallel Programming,,,,10.1007/s10766-025-00801-7,Loïc SylvestreJocelyn SérotEmmanuel Chailloux,2025,https://link.springer.com/article/10.1007/s10766-025-00801-7,Article
A Comprehensive Framework for&#xa0;Turn-Taking Evaluation in&#xa0;Multi-agent Systems: Rotational Periodicity for&#xa0;Scalable Coordination Analysis,Artificial Intelligence and Soft Computing,,,,10.1007/978-3-032-03711-4_16,Nikolaos Al. PapadopoulosRallou TaratoriMarti Sanchez-FiblaKonstantinos E. Psannis,2026,https://link.springer.com/chapter/10.1007/978-3-032-03711-4_16,Conference paper
Digital Twins: a&#xa0;Briefing for&#xa0;Formalists,Formal Methods,,,,10.1007/978-3-032-26220-2_19,John S. FitzgeraldCláudio GomesPeter Gorm LarsenMikkel Schmidt AndersenSantiago GilMorten Haahr Kristensen,2026,https://link.springer.com/chapter/10.1007/978-3-032-26220-2_19,Conference paper
"A review of vibration energy harvesting applications, performance factors and deployment challenges",International Journal of Dynamics and Control,,,,10.1007/s40435-026-02174-2,Abdullah Al HasanMd. AbdullahMahmoud E. Khater,2026,https://link.springer.com/article/10.1007/s40435-026-02174-2,Article
Quality management approach considering sustainability aspects within the design of wind turbines based on a&#xa0;literature review to explore the state of the art,Forschung im Ingenieurwesen,,,,10.1007/s10010-025-00820-3,Lisa-Marie NettlenbuschJan ReissmannAlexander Hasse,2025,https://link.springer.com/article/10.1007/s10010-025-00820-3,Article
Investigation of the Punching Shear Behavior of RC Flat Slabs Strengthened with Embedded Through Section of CFRP Strips and Ropes,International Journal of Pavement Research and Technology,,,,10.1007/s42947-026-00845-z,Amjad B. ShehadehYasmeen Taleb ObaidatWasim S. Barham,2026,https://link.springer.com/article/10.1007/s42947-026-00845-z,Article
A Robust Federated Learning System Against Data Poisoning Attacks in IoT Networks,Journal of Reliable Intelligent Environments,,,,10.1007/s40860-025-00263-1,Ly VuTuan Phong Tran,2025,https://link.springer.com/article/10.1007/s40860-025-00263-1,Article
Functional Reactive EDSL with Asynchronous Execution for Resource-Constrained Embedded Systems,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",,,,10.1007/978-3-030-26428-4_12,Sheng WangTakuo Watanabe,2020,https://link.springer.com/chapter/10.1007/978-3-030-26428-4_12,Chapter
Slack Pack: Fabrication System for the Dual Robotic Winding of Spatial Fiber Structures,Phygital Intelligence,,,,10.1007/978-981-99-8405-3_40,Harrison HildebrandtMengxi HePeng-An ChenRebeca Duque EstradaChristoph ZechmeisterAchim Menges,2024,https://link.springer.com/chapter/10.1007/978-981-99-8405-3_40,Conference paper
Reactive Programming of Robots with RxROS,Robot Operating System (ROS),,,,10.1007/978-3-030-75472-3_2,Henrik LarsenGijs van der HoornAndrzej Wąsowski,2021,https://link.springer.com/chapter/10.1007/978-3-030-75472-3_2,Chapter
Automatic Screening of&#xa0;Invasive Coronary Angiography Images Using Swin Transformer,Bioinspired Intelligent Systems: From Robotics and Computer Vision to Trustworthy Applications,,,,10.1007/978-3-032-27317-8_4,Juan Jesús Rus-MuñozAriadna Jiménez-PartinenMario Pascual-GonzálezEsteban J. PalomoJorge Rodríguez-Capitán,2026,https://link.springer.com/chapter/10.1007/978-3-032-27317-8_4,Conference paper
Achieving Secured Medical Network (SMN) through Stateless Mechanism and SkeyM in Medical-Internet of Things (M-IoT),Journal of Engineering and Applied Science,,,,10.1186/s44147-024-00460-4,Nithya S.SatheeshKumar PalanisamyNivethitha T.,2024,https://link.springer.com/article/10.1186/s44147-024-00460-4,Article
Investigation on axial compression behavior of concrete columns wrapped with ferro-geopolymer composites,"Multiscale and Multidisciplinary Modeling, Experiments and Design",,,,10.1007/s41939-026-01167-0,A. V. GhogareB. Kondraivendhan,2026,https://link.springer.com/article/10.1007/s41939-026-01167-0,Article
Advanced Bio-based Composite Panels for Building Facades,"Construction, Energy, Environment and Sustainability",,,,10.1007/978-981-95-1822-7_54,José Miguel BarbosaDaniela CampanhãAlexandre FonsecaJoão MagalhãesSofia SilvaJuliana SoaresDiana Gonçalves,2026,https://link.springer.com/chapter/10.1007/978-981-95-1822-7_54,Conference paper
A bidirectional neuro-symbolic framework for clinical decision support via dynamic integration of deep learning and symbolic reasoning,Network Modeling Analysis in Health Informatics and Bioinformatics,,,,10.1007/s13721-025-00710-2,Rinku ChavdaK. SureshSushil KumarK. L. Raghavender ReddyB. JayaprakashPrabhat Kumar SahuB. BharathiDevendra SinghSaurabh Namdev,2026,https://link.springer.com/article/10.1007/s13721-025-00710-2,Article
Fog-Marketing: auction-based multi-tier decentralized markets for fog resource provisioning,The Journal of Supercomputing,,,,10.1007/s11227-024-06081-1,Samira ShahinifarMohammad Taghi KheirabadiAli BroumandniaKambiz Rahbar,2024,https://link.springer.com/article/10.1007/s11227-024-06081-1,Article
Fuel injection rate and its variation of a GDI injector operated in engine motoring conditions,Journal of Mechanical Science and Technology,,,,10.1007/s12206-021-1143-6,Byoung Jin LeeChoong Hoon Lee,2021,https://link.springer.com/article/10.1007/s12206-021-1143-6,Article
A Method for High Availability Software Programming and Testing,Proceedings of the 5th International Conference on Electrical Engineering and Information Technologies for Rail Transportation (EITRT) 2021,,,,10.1007/978-981-16-9909-2_3,Jingru HuangXilong PeiDongxiu OuJianmin Wang,2022,https://link.springer.com/chapter/10.1007/978-981-16-9909-2_3,Conference paper
End-to-End Trusted Execution Environment (TEE) with Dynamic Holistic View Based Throughput Maximization Approach,Computational Science and Computational Intelligence,,,,10.1007/978-3-031-99586-6_19,Muhammed Akif Ağca,2025,https://link.springer.com/chapter/10.1007/978-3-031-99586-6_19,Conference paper
Structural Health Monitoring System for Bridges Using Internet of Things,Mobile Radio Communications and 5G Networks,,,,10.1007/978-981-15-7130-5_64,Pravleen KaurLakshya BhardwajRohit Tanwar,2021,https://link.springer.com/chapter/10.1007/978-981-15-7130-5_64,Conference paper
An Intelligent Thermal Management Fuzzy Logic Control System Design and Analysis Using ANSYS Fluent for a Mobile Robotic Platform in Extreme Weather Applications,Journal of Intelligent & Robotic Systems,,,,10.1007/s10846-022-01799-7,Misha AfaqAli JebelliRafiq Ahmad,2023,https://link.springer.com/article/10.1007/s10846-022-01799-7,Article
MedScan: An AI-Powered Mobile App Designed to Identify Medications for People with Visual Impairments,Advances in Bioengineering and Clinical Engineering 2025,,,,10.1007/978-3-032-06401-1_156,Daniela A. AraujoMarcos A. Rubio,2025,https://link.springer.com/chapter/10.1007/978-3-032-06401-1_156,Conference paper
Flexural investigation of precast concrete sandwich panels with removable polymeric shear connectors,Journal of Building Pathology and Rehabilitation,,,,10.1007/s41024-026-00838-2,Hayder M. AbdzaidAshraf A. Alfeehan,2026,https://link.springer.com/article/10.1007/s41024-026-00838-2,Article
Quantifying Crack Damage in BFRP-Reinforced Concrete Beams with YOLOv8 and 3D-DIC,Journal of Nondestructive Evaluation,,,,10.1007/s10921-025-01277-8,Yunqi ZengDong LeiKaiyang ZhouJintao HeZesheng SheYang YuLing LiuKexin Yu,2025,https://link.springer.com/article/10.1007/s10921-025-01277-8,Article
Structural Health Monitoring,"Development of a Self-Sufficient, Wireless Sensor Node Using the Outer FML Layer as an Antenna",,,,10.1007/978-3-031-70648-6_5,Sarah Bornemann,2025,https://link.springer.com/chapter/10.1007/978-3-031-70648-6_5,Chapter
Design and Implementation of Identifying Points on Elliptic Curve Efficiently Using Java,Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough,,,,10.1007/978-3-030-96634-8_9,Deepak S. SakkariMohammed Mujeer Ulla,2022,https://link.springer.com/chapter/10.1007/978-3-030-96634-8_9,Chapter
Wavelet-guided spatial-frequency transformer with physics-based refinement for remote sensing image dehazing,Multimedia Systems,,,,10.1007/s00530-025-02035-6,Mengjun MiaoHeming HuangFeipeng Da,2025,https://link.springer.com/article/10.1007/s00530-025-02035-6,Article
RETRACTED ARTICLE: Fraud detection and prevention by face recognition with and without mask for banking application,Multimedia Tools and Applications,,,,10.1007/s11042-024-19021-1,Rajani P.KArti KhapardeVarsha BendreJayashree Katti,2024,https://link.springer.com/article/10.1007/s11042-024-19021-1,Article
Evaluation of Repair Technique Effectiveness for Bridge Barrier/Deck Systems with Glass Fiber Reinforced Polymer Bars Using Mechanics-Based Modeling,"Proceedings of the Canadian Society for Civil Engineering Annual Conference 2023, Volume 11",,,,10.1007/978-3-031-61531-3_33,Juan Torres AcostaDouglas Tomlinson,2024,https://link.springer.com/chapter/10.1007/978-3-031-61531-3_33,Conference paper
Vision-Based Damage Detection in CFRP Beams Using Optical Flow and Mahalanobis-Enhanced Deep Learning Models,Journal of Nondestructive Evaluation,,,,10.1007/s10921-025-01274-x,Kemal HacıefendioğluVolkan KahyaSebahat ŞimşekTunahan Aslan,2025,https://link.springer.com/article/10.1007/s10921-025-01274-x,Article
"The Physics and Dynamics of Aerosols, Trace Gases and Atmospheric Boundary Layer Over the Eastern Himalayan Region",Remote Sensing of the North Eastern Himalayan Ecosystem,,,,10.1007/978-981-95-3221-6_20,Arup BorgohainShyam S. KunduArundhati KunduManasi GogoiMukunda M. GogoiBinita PathakNilamoni Barman,2026,https://link.springer.com/chapter/10.1007/978-981-95-3221-6_20,Chapter
Syntithenai Poiēsis—Perceptual Unified Objects,"Perspectives on Music, Sound and Musicology II",,,,10.1007/978-3-031-67503-4_19,André Rangel,2025,https://link.springer.com/chapter/10.1007/978-3-031-67503-4_19,Chapter
Civil Engineering for Multi-hazard Risk Reduction-An Introduction,Civil Engineering for Multi-Hazard Risk Reduction,,,,10.1007/978-981-99-9610-0_1,K. S. SreekeshavaSreevalsa KolathayarN. Vinod Chandra MenonBhargavi.C,2024,https://link.springer.com/chapter/10.1007/978-981-99-9610-0_1,Conference paper
Ground Network Security,Space-Air-Ground Integrated Network Security,,,,10.1007/978-981-99-1125-7_3,Jianwei LiuLin BaiChunxiao JiangWei Zhang,2023,https://link.springer.com/chapter/10.1007/978-981-99-1125-7_3,Chapter
A Secure Federated Learning and Blockchain Framework for E-Health Threat Detection,Journal of Vibration Engineering & Technologies,,,,10.1007/s42417-026-02702-6,P. G. BanupriyaK. Vanitha,2026,https://link.springer.com/article/10.1007/s42417-026-02702-6,Article
Integrating Dual Strengths: A Hybrid Architecture Merging Decentralized Trust with&#xa0;Server-Side Efficiency for&#xa0;Enhanced Secure Transactions,Computational Science and Its Applications – ICCSA 2024,,,,10.1007/978-3-031-64608-9_20,Priya MaliParth ShiroleSandip Shingade,2024,https://link.springer.com/chapter/10.1007/978-3-031-64608-9_20,Conference paper
"Acoustic Emission-Based Assessment of Damage Evolution in Bridge Systems: Methods, Indicators, and Advances in Structural Mechanics",Journal of Nondestructive Evaluation,,,,10.1007/s10921-026-01388-w,Sakhiah Abdul KudusMohamad Farid MisnanHussein MuhammadAbdulrahman Mubarak Salem SawahliZakiah AhmadKhairul Anuar Shahid,2026,https://link.springer.com/article/10.1007/s10921-026-01388-w,Article
Automated Translation of Natural Language Requirements to Runtime Monitors,Tools and Algorithms for the Construction and Analysis of Systems,,,,10.1007/978-3-030-99524-9_21,Ivan PerezAnastasia MavridouTom PressburgerAlwyn GoodloeDimitra Giannakopoulou,2022,https://link.springer.com/chapter/10.1007/978-3-030-99524-9_21,Conference paper
Structural responses of low-strength RC columns made with steel equal angle (SEA),Journal of Building Pathology and Rehabilitation,,,,10.1007/s41024-025-00771-w,Md. Rabiul AlamAtique Ishrak AnikMd. Zakaria HossainMd. Asirul Hasan Sourav,2026,https://link.springer.com/article/10.1007/s41024-025-00771-w,Article
An Intermediate Program Representation for&#xa0;Optimizing Stream-Based Languages,Computer Aided Verification,,,,10.1007/978-3-031-98682-6_20,Jan BaumeisterArthur CorrensonBernd FinkbeinerFrederik Scheerer,2025,https://link.springer.com/chapter/10.1007/978-3-031-98682-6_20,Conference paper
"Blech, Imperative Synchronous Programming!","Languages, Design Methods, and Tools for Electronic System Design",,,,10.1007/978-3-030-31585-6_9,Friedrich GretzFranz-Josef Grosch,2020,https://link.springer.com/chapter/10.1007/978-3-030-31585-6_9,Chapter
A machine learning framework for predicting seismic behavior in elevated reinforced concrete tanks,Asian Journal of Civil Engineering,,,,10.1007/s42107-025-01356-1,A. Aziz Al-AyoubiVaratharajan ThirumuruganK. S. Satyanarayanan,2025,https://link.springer.com/article/10.1007/s42107-025-01356-1,Article
A survey of testing automated driving system,Frontiers of Computer Science,,,,10.1007/s11704-025-41327-y,Zheng LiWentai ZhuHaohui HuangYu WangLinzhang Wang,2026,https://link.springer.com/article/10.1007/s11704-025-41327-y,Article
ARx: Reactive Programming for Synchronous Connectors,Coordination Models and Languages,,,,10.1007/978-3-030-50029-0_3,José ProençaGuillermina Cledou,2020,https://link.springer.com/chapter/10.1007/978-3-030-50029-0_3,Conference paper
An Energy Consumption Model to&#xa0;Change the&#xa0;TBFC Model of&#xa0;the&#xa0;IoT,Advanced Information Networking and Applications,,,,10.1007/978-3-031-57853-3_39,Dilawaer DuolikunTomoya EnokidoMakoto Takizawa,2024,https://link.springer.com/chapter/10.1007/978-3-031-57853-3_39,Conference paper
Multimodal Transformer Framework for Real-Time Cheating Detection in Online Assessments and E-learning Platforms,SN Computer Science,,,,10.1007/s42979-025-04718-3,Edrees A. Alkinani,2026,https://link.springer.com/article/10.1007/s42979-025-04718-3,Article
Integration of machine learning and digital twin in additive manufacturing of polymeric-based materials and products,Progress in Additive Manufacturing,,,,10.1007/s40964-025-01257-4,Imran KhanAns Al RashidMuammer Koç,2025,https://link.springer.com/article/10.1007/s40964-025-01257-4,Article
Review of Computational Strategies for Drone Design and Development,Archives of Computational Methods in Engineering,,,,10.1007/s11831-025-10458-7,Akhila Ajith PisharamKesavan KandasamyIndira Prasanth SubramaniamSenthil Kumar SolaiappanBeena Stanislaus ArputharajParvathy RajendranPradesh SakthivelRamya MarananVijayanandh Raja,2025,https://link.springer.com/article/10.1007/s11831-025-10458-7,Article
Smartwatch Security Case Study for User Data Protection,Focus on Artificial Intelligence in Intelligent Systems Design,,,,10.1007/978-3-032-22091-2_17,Ladislav HurajMarek SimonValeriia LykhomanovaAndrej Bradáč,2026,https://link.springer.com/chapter/10.1007/978-3-032-22091-2_17,Conference paper
Realization,Contextual Process Digitalization,,,,10.1007/978-3-032-06901-6_7,Matthes ElstermannAlbert FleischmannChristoph MoserStefan OpplWerner SchmidtChristian Stary,2026,https://link.springer.com/chapter/10.1007/978-3-032-06901-6_7,Chapter
Review on Insight into Elliptic Curve Cryptography,Modern Approaches in Machine Learning & Cognitive Science: A Walkthrough,,,,10.1007/978-3-030-96634-8_8,Deepak S. SakkariMohammed Mujeer ulla,2022,https://link.springer.com/chapter/10.1007/978-3-030-96634-8_8,Chapter
Threading the Arduino with Haskell,Trends in Functional Programming,,,,10.1007/978-3-030-14805-8_8,Mark GrebeAndy Gill,2019,https://link.springer.com/chapter/10.1007/978-3-030-14805-8_8,Conference paper
Optimal feature selection for COVID-19 detection with CT images enabled by metaheuristic optimization and artificial intelligence,Multimedia Tools and Applications,,,,10.1007/s11042-023-15031-7,Dattaprasad A. TorseRajashri KhanaiKrishna PaiSridhar IyerSwati MavinkattimathRakhee KallimaniSalma Shahpur,2023,https://link.springer.com/article/10.1007/s11042-023-15031-7,Article
Advancements and emerging trends in integrating machine learning and deep learning for SHM in mechanical and civil engineering: a comprehensive review,Journal of the Brazilian Society of Mechanical Sciences and Engineering,,,,10.1007/s40430-025-05697-5,Abdelwahhab KhatirRoberto CapozuccaSamir KhatirErica MagagniniCuong Le ThanhMohamed Kamel Riahi,2025,https://link.springer.com/article/10.1007/s40430-025-05697-5,Article
"Verify Engineering Models, Not Scientific Models",Rebeca for Actor Analysis in Action,,,,10.1007/978-3-031-85134-6_9,Shaokai LinEdward A. Lee,2025,https://link.springer.com/chapter/10.1007/978-3-031-85134-6_9,Chapter
Innovative technologies for structural health monitoring of SFTs: proposal of combination of infrared thermography with mixed reality,Journal of Civil Structural Health Monitoring,,,,10.1007/s13349-023-00698-1,Vittorio PalmaGiacomo IovaneSoonkyu HwangFederico M. MazzolaniRaffaele LandolfoHoon SohnBeatrice Faggiano,2023,https://link.springer.com/article/10.1007/s13349-023-00698-1,Article
Metal-based hybrid technologies,Multifunctional Lightweight Structures,,,,10.1007/978-3-662-62217-9_4,Lothar Kroll,2023,https://link.springer.com/chapter/10.1007/978-3-662-62217-9_4,Chapter
Addressing Input/Output Composition Through Open Automata Representation,Research in Computer Science,,,,10.1007/978-3-031-88226-5_14,Rabéa Ameur-BoulifaSarah Chabane Mechiouri,2025,https://link.springer.com/chapter/10.1007/978-3-031-88226-5_14,Conference paper
MOJAYA Coupled with R-method for Optimization of Machining Parameters Used in the Generation of Micro Holes on GFRP Composite Using an In-House Developed µ-ECDM System,Advanced Engineering Optimization Through Intelligent Techniques,,,,10.1007/978-981-19-9285-8_8,K. V. J. BhargavP. ShanthanP. S. BalajiRanjeet Kumar Sahu,2023,https://link.springer.com/chapter/10.1007/978-981-19-9285-8_8,Conference paper
A deep learning approach for host-based cryptojacking malware detection,Evolving Systems,,,,10.1007/s12530-023-09534-9,Olanrewaju SandaMichalis PavlidisNikolaos Polatidis,2023,https://link.springer.com/article/10.1007/s12530-023-09534-9,Article
