database,source_row,source_id,title,authors,normalized_title,normalized_authors,year,doi,publication_title,document_type,url
springer,21,10.1007/s40033-026-01059-0,"Study on Fiber Grading, Fracture Strength, and Frictional Coefficient on Crashworthy Property of Glass Fiber Reinforced MWCNT Blended Polymer Tubes",K. Y. ChethanaY. S. Ram MohanP. Deepak KumarM. RavikumarG. S. DivyaA. RajeshRadha GuptaB. N. Deepak KumarSmita SinghAdem Abdirkadir Aden,study on fiber grading fracture strength and frictional coefficient on crashworthy property of glass fiber reinforced mwcnt blended polymer tubes,k y chethanay s ram mohanp deepak kumarm ravikumarg s divyaa rajeshradha guptab n deepak kumarsmita singhadem abdirkadir aden,2026,10.1007/s40033-026-01059-0,Journal of The Institution of Engineers (India): Series D,Article,https://link.springer.com/article/10.1007/s40033-026-01059-0
springer,22,10.1007/978-3-031-99751-8_20,Communication for Task-Oriented Systems with Edge Devices,Niek JanssenMart LubbersPieter Koopman,communication for task oriented systems with edge devices,niek janssenmart lubberspieter koopman,2026,10.1007/978-3-031-99751-8_20,Trends in Functional Programming,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-99751-8_20
springer,23,10.1007/978-3-030-46714-2_9,Declarative Programming for Microcontrollers - Datalog on Arduino,Mario WenzelStefan Brass,declarative programming for microcontrollers datalog on arduino,mario wenzelstefan brass,2020,10.1007/978-3-030-46714-2_9,Declarative Programming and Knowledge Management,Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-46714-2_9
springer,24,10.1186/s43065-025-00147-x,Leveraging emerging technologies to address the crisis of aging concrete infrastructure,Xianming Shi,leveraging emerging technologies to address the crisis of aging concrete infrastructure,xianming shi,2025,10.1186/s43065-025-00147-x,Journal of Infrastructure Preservation and Resilience,Article,https://link.springer.com/article/10.1186/s43065-025-00147-x
springer,25,10.1007/978-3-030-88207-5_13,Cooperative Dynamic Programmable Devices Using Actor Model for Embedded Systems of Microcontrollers,Sylvia EnchevaSharil Tumin,cooperative dynamic programmable devices using actor model for embedded systems of microcontrollers,sylvia enchevasharil tumin,2021,10.1007/978-3-030-88207-5_13,"Cooperative Design, Visualization, and Engineering",Conference paper,https://link.springer.com/chapter/10.1007/978-3-030-88207-5_13
springer,26,10.1038/s44172-026-00628-1,3D-printed concrete with in-process embedded fiber-reinforced polymer grid reinforcement,Hou-Qi SunShan-Shan XieJun-Jie ZengYan Zhuge,3d printed concrete with in process embedded fiber reinforced polymer grid reinforcement,hou qi sunshan shan xiejun jie zengyan zhuge,2026,10.1038/s44172-026-00628-1,Communications Engineering,Article,https://link.springer.com/article/10.1038/s44172-026-00628-1
springer,27,10.1007/978-3-031-21314-4_5,Reducing the Power Consumption of IoT with Task-Oriented Programming,Sjoerd CrooijmansMart LubbersPieter Koopman,reducing the power consumption of iot with task oriented programming,sjoerd crooijmansmart lubberspieter koopman,2022,10.1007/978-3-031-21314-4_5,Trends in Functional Programming,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-21314-4_5
springer,28,10.1007/978-3-032-28079-4_21,Towards Formal Verification of Hybrid Synchronous Programs with Refinement Types,Serra Z. DaneJiawei ChenMarc PouzetJean-Baptiste Jeannin,towards formal verification of hybrid synchronous programs with refinement types,serra z danejiawei chenmarc pouzetjean baptiste jeannin,2026,10.1007/978-3-032-28079-4_21,NASA Formal Methods,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-28079-4_21
springer,29,10.1007/978-981-97-2300-3_11,Being Lazy When It Counts,Chun Kit LamLionel Parreaux,being lazy when it counts,chun kit lamlionel parreaux,2024,10.1007/978-981-97-2300-3_11,Functional and Logic Programming,Conference paper,https://link.springer.com/chapter/10.1007/978-981-97-2300-3_11
springer,30,10.1038/s41598-026-47819-6,Assessment of machine learning models for predicting the deflection of concrete beams,Arvindan SivasuriyanDhanasingh Sivalinga VijayanRoman TrachHydayatullah BayatArtur GóralAnna PiętochaEugeniusz Koda,assessment of machine learning models for predicting the deflection of concrete beams,arvindan sivasuriyandhanasingh sivalinga vijayanroman trachhydayatullah bayatartur góralanna piętochaeugeniusz koda,2026,10.1038/s41598-026-47819-6,Scientific Reports,Article,https://link.springer.com/article/10.1038/s41598-026-47819-6
springer,31,10.1007/s10586-025-05697-z,FCDC: Firefly optimization algorithm based compression of deep CNN model with explainability,Lopamudra MohantyMohit AgarwalVivek Mehta,fcdc firefly optimization algorithm based compression of deep cnn model with explainability,lopamudra mohantymohit agarwalvivek mehta,2025,10.1007/s10586-025-05697-z,Cluster Computing,Article,https://link.springer.com/article/10.1007/s10586-025-05697-z
springer,32,10.1007/978-3-031-71874-8_11,Transitions in Wireless Networks: Selected Results of Collaborative Research in MAKI,Bernd FreislebenOliver HinzMatthias HollickAnja KleinMira MeziniAndrea Ortiz,transitions in wireless networks selected results of collaborative research in maki,bernd freislebenoliver hinzmatthias hollickanja kleinmira meziniandrea ortiz,2024,10.1007/978-3-031-71874-8_11,From Multimedia Communications to the Future Internet,Chapter,https://link.springer.com/chapter/10.1007/978-3-031-71874-8_11
springer,33,10.1007/s00170-026-17827-x,Enhanced performance of 3D printed soft pneumatic actuators with polyjet fabricated lattice layers: A study on bending characteristics and stiffness,Senthilkumar KaliappanManikanda Subramanian KrishnamurthyVeerakumar AdaikalasamyArun Prasath Varadharajan,enhanced performance of 3d printed soft pneumatic actuators with polyjet fabricated lattice layers a study on bending characteristics and stiffness,senthilkumar kaliappanmanikanda subramanian krishnamurthyveerakumar adaikalasamyarun prasath varadharajan,2026,10.1007/s00170-026-17827-x,The International Journal of Advanced Manufacturing Technology,Article,https://link.springer.com/article/10.1007/s00170-026-17827-x
springer,34,10.1007/s42107-025-01281-3,How machine learning can transform the future of concrete,Kaoutar MouzounAzzeddine BouyahyaouiHanane Moulay AbdelaliToufik CherradiKhadija BabaIlham MasrourNajib Zemed,how machine learning can transform the future of concrete,kaoutar mouzounazzeddine bouyahyaouihanane moulay abdelalitoufik cherradikhadija babailham masrournajib zemed,2025,10.1007/s42107-025-01281-3,Asian Journal of Civil Engineering,Article,https://link.springer.com/article/10.1007/s42107-025-01281-3
springer,35,10.1007/s12239-021-0045-z,Fuel Rail Pressure Control Characteristics of a GDI High-Pressure Fuel Pump Using a Newly Developed Experimental System Controlled with a Microcontroller,Byoung Jin LeeChoong Hoon Lee,fuel rail pressure control characteristics of a gdi high pressure fuel pump using a newly developed experimental system controlled with a microcontroller,byoung jin leechoong hoon lee,2021,10.1007/s12239-021-0045-z,International Journal of Automotive Technology,Article,https://link.springer.com/article/10.1007/s12239-021-0045-z
springer,36,10.1007/978-3-031-70648-6_4,Embedded Electronics,Sarah Bornemann,embedded electronics,sarah bornemann,2025,10.1007/978-3-031-70648-6_4,"Development of a Self-Sufficient, Wireless Sensor Node Using the Outer FML Layer as an Antenna",Chapter,https://link.springer.com/chapter/10.1007/978-3-031-70648-6_4
springer,37,10.1007/978-3-032-20749-4_16,Automated Classification of Thermal Hot Spot Types from the VIIRS Satellite Data Using Machine Learning Techniques,Mary-Cielo LeónDavid Torres-GilWilliams CcompiWilfredo Ticona,automated classification of thermal hot spot types from the viirs satellite data using machine learning techniques,mary cielo leóndavid torres gilwilliams ccompiwilfredo ticona,2026,10.1007/978-3-032-20749-4_16,Focus on Artificial Intelligence in Intelligent Systems Design,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-20749-4_16
springer,38,10.1007/978-3-031-82826-3_7,Advancing Connectivity and Security in SDN-IoT Networks Through Policy Management,Anjana JimmingtonSabu M. ThampiPreetam Mukherjee,advancing connectivity and security in sdn iot networks through policy management,anjana jimmingtonsabu m thampipreetam mukherjee,2025,10.1007/978-3-031-82826-3_7,Securing the Connected World,Chapter,https://link.springer.com/chapter/10.1007/978-3-031-82826-3_7
springer,39,10.1007/978-3-031-90200-0_23,Dynamic Resource Manager for Automating Deployments in the Computing Continuum,Zahra Najafabadi SamaniMatthias GaThomas FahringerJuan Aznar PovedaStefan Pedratscher,dynamic resource manager for automating deployments in the computing continuum,zahra najafabadi samanimatthias gathomas fahringerjuan aznar povedastefan pedratscher,2025,10.1007/978-3-031-90200-0_23,Euro-Par 2024: Parallel Processing Workshops,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-90200-0_23
springer,40,10.1007/s42452-026-08622-0,Application of machine learning and genetic algorithm framework for optimization of shape memory alloy embedded smart composites,Niranjan PattarSubhas F. PatilReena Y  AManjiri Ulhas KarandeM. ZubairuddinSonal BoraseShahid Tamboli,application of machine learning and genetic algorithm framework for optimization of shape memory alloy embedded smart composites,niranjan pattarsubhas f patilreena y amanjiri ulhas karandem zubairuddinsonal boraseshahid tamboli,2026,10.1007/s42452-026-08622-0,Discover Applied Sciences,Article,https://link.springer.com/article/10.1007/s42452-026-08622-0
springer,41,10.1007/s10766-025-00801-7,Programming Parallelism on FPGAs with <span>Eclat</span>,Loïc SylvestreJocelyn SérotEmmanuel Chailloux,programming parallelism on fpgas with eclat,loïc sylvestrejocelyn sérotemmanuel chailloux,2025,10.1007/s10766-025-00801-7,International Journal of Parallel Programming,Article,https://link.springer.com/article/10.1007/s10766-025-00801-7
springer,42,10.1007/978-3-032-29003-8_3,Geo-Intelligent Wildfire Risk Prediction Using Machine Learning,Subrata PaulRishita HazraSougata UtthasaniRudradip MukherjeeJannat Ara Ferdouse RayaAnirban MitraIndranil Roy,geo intelligent wildfire risk prediction using machine learning,subrata paulrishita hazrasougata utthasanirudradip mukherjeejannat ara ferdouse rayaanirban mitraindranil roy,2027,10.1007/978-3-032-29003-8_3,Computers and Their Applications,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-29003-8_3
springer,43,10.1038/s41467-026-74082-0,The <i>Bacillus subtilis</i> circadian clock coordinates intricate spatiotemporal organisation,Jack DorlingFrancesca SartorBorja Ferrero-BorderaEdward GodfreyZheng Eelderink-ChenElla BakerIsobel K. BanksAkshat JoshipuraXinming XuRomain AvellanÁkos T. KovácsAntony N. DoddMartha Merrow,the bacillus subtilis circadian clock coordinates intricate spatiotemporal organisation,jack dorlingfrancesca sartorborja ferrero borderaedward godfreyzheng eelderink chenella bakerisobel k banksakshat joshipuraxinming xuromain avellanákos t kovácsantony n doddmartha merrow,2026,10.1038/s41467-026-74082-0,Nature Communications,Article,https://link.springer.com/article/10.1038/s41467-026-74082-0
springer,44,10.1007/978-3-032-03711-4_16,A Comprehensive Framework for Turn-Taking Evaluation in Multi-agent Systems: Rotational Periodicity for Scalable Coordination Analysis,Nikolaos Al. PapadopoulosRallou TaratoriMarti Sanchez-FiblaKonstantinos E. Psannis,a comprehensive framework for turn taking evaluation in multi agent systems rotational periodicity for scalable coordination analysis,nikolaos al papadopoulosrallou taratorimarti sanchez fiblakonstantinos e psannis,2026,10.1007/978-3-032-03711-4_16,Artificial Intelligence and Soft Computing,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-03711-4_16
springer,45,10.1007/978-3-032-26220-2_19,Digital Twins: a Briefing for Formalists,John S. FitzgeraldCláudio GomesPeter Gorm LarsenMikkel Schmidt AndersenSantiago GilMorten Haahr Kristensen,digital twins a briefing for formalists,john s fitzgeraldcláudio gomespeter gorm larsenmikkel schmidt andersensantiago gilmorten haahr kristensen,2026,10.1007/978-3-032-26220-2_19,Formal Methods,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-26220-2_19
springer,46,10.1007/s40435-026-02174-2,"A review of vibration energy harvesting applications, performance factors and deployment challenges",Abdullah Al HasanMd. AbdullahMahmoud E. Khater,a review of vibration energy harvesting applications performance factors and deployment challenges,abdullah al hasanmd abdullahmahmoud e khater,2026,10.1007/s40435-026-02174-2,International Journal of Dynamics and Control,Article,https://link.springer.com/article/10.1007/s40435-026-02174-2
springer,47,10.1007/s10010-025-00820-3,Quality management approach considering sustainability aspects within the design of wind turbines based on a literature review to explore the state of the art,Lisa-Marie NettlenbuschJan ReissmannAlexander Hasse,quality management approach considering sustainability aspects within the design of wind turbines based on a literature review to explore the state of the art,lisa marie nettlenbuschjan reissmannalexander hasse,2025,10.1007/s10010-025-00820-3,Forschung im Ingenieurwesen,Article,https://link.springer.com/article/10.1007/s10010-025-00820-3
springer,48,10.1007/978-3-030-26428-4_12,Functional Reactive EDSL with Asynchronous Execution for Resource-Constrained Embedded Systems,Sheng WangTakuo Watanabe,functional reactive edsl with asynchronous execution for resource constrained embedded systems,sheng wangtakuo watanabe,2020,10.1007/978-3-030-26428-4_12,"Software Engineering, Artificial Intelligence, Networking and Parallel/Distributed Computing",Chapter,https://link.springer.com/chapter/10.1007/978-3-030-26428-4_12
springer,49,10.1007/s42947-026-00845-z,Investigation of the Punching Shear Behavior of RC Flat Slabs Strengthened with Embedded Through Section of CFRP Strips and Ropes,Amjad B. ShehadehYasmeen Taleb ObaidatWasim S. Barham,investigation of the punching shear behavior of rc flat slabs strengthened with embedded through section of cfrp strips and ropes,amjad b shehadehyasmeen taleb obaidatwasim s barham,2026,10.1007/s42947-026-00845-z,International Journal of Pavement Research and Technology,Article,https://link.springer.com/article/10.1007/s42947-026-00845-z
springer,50,10.1007/s40860-025-00263-1,A Robust Federated Learning System Against Data Poisoning Attacks in IoT Networks,Ly VuTuan Phong Tran,a robust federated learning system against data poisoning attacks in iot networks,ly vutuan phong tran,2025,10.1007/s40860-025-00263-1,Journal of Reliable Intelligent Environments,Article,https://link.springer.com/article/10.1007/s40860-025-00263-1
springer,51,10.1007/978-3-030-75472-3_2,Reactive Programming of Robots with RxROS,Henrik LarsenGijs van der HoornAndrzej Wąsowski,reactive programming of robots with rxros,henrik larsengijs van der hoornandrzej wąsowski,2021,10.1007/978-3-030-75472-3_2,Robot Operating System (ROS),Chapter,https://link.springer.com/chapter/10.1007/978-3-030-75472-3_2
springer,52,10.1007/978-981-99-8405-3_40,Slack Pack: Fabrication System for the Dual Robotic Winding of Spatial Fiber Structures,Harrison HildebrandtMengxi HePeng-An ChenRebeca Duque EstradaChristoph ZechmeisterAchim Menges,slack pack fabrication system for the dual robotic winding of spatial fiber structures,harrison hildebrandtmengxi hepeng an chenrebeca duque estradachristoph zechmeisterachim menges,2024,10.1007/978-981-99-8405-3_40,Phygital Intelligence,Conference paper,https://link.springer.com/chapter/10.1007/978-981-99-8405-3_40
springer,53,10.1007/978-3-032-27317-8_4,Automatic Screening of Invasive Coronary Angiography Images Using Swin Transformer,Juan Jesús Rus-MuñozAriadna Jiménez-PartinenMario Pascual-GonzálezEsteban J. PalomoJorge Rodríguez-Capitán,automatic screening of invasive coronary angiography images using swin transformer,juan jesús rus muñozariadna jiménez partinenmario pascual gonzálezesteban j palomojorge rodríguez capitán,2026,10.1007/978-3-032-27317-8_4,Bioinspired Intelligent Systems: From Robotics and Computer Vision to Trustworthy Applications,Conference paper,https://link.springer.com/chapter/10.1007/978-3-032-27317-8_4
springer,54,10.1186/s44147-024-00460-4,Achieving Secured Medical Network (SMN) through Stateless Mechanism and SkeyM in Medical-Internet of Things (M-IoT),Nithya S.SatheeshKumar PalanisamyNivethitha T.,achieving secured medical network smn through stateless mechanism and skeym in medical internet of things m iot,nithya s satheeshkumar palanisamynivethitha t,2024,10.1186/s44147-024-00460-4,Journal of Engineering and Applied Science,Article,https://link.springer.com/article/10.1186/s44147-024-00460-4
springer,55,10.1007/s41939-026-01167-0,Investigation on axial compression behavior of concrete columns wrapped with ferro-geopolymer composites,A. V. GhogareB. Kondraivendhan,investigation on axial compression behavior of concrete columns wrapped with ferro geopolymer composites,a v ghogareb kondraivendhan,2026,10.1007/s41939-026-01167-0,"Multiscale and Multidisciplinary Modeling, Experiments and Design",Article,https://link.springer.com/article/10.1007/s41939-026-01167-0
springer,56,10.1007/978-981-95-1822-7_54,Advanced Bio-based Composite Panels for Building Facades,José Miguel BarbosaDaniela CampanhãAlexandre FonsecaJoão MagalhãesSofia SilvaJuliana SoaresDiana Gonçalves,advanced bio based composite panels for building facades,josé miguel barbosadaniela campanhãalexandre fonsecajoão magalhãessofia silvajuliana soaresdiana gonçalves,2026,10.1007/978-981-95-1822-7_54,"Construction, Energy, Environment and Sustainability",Conference paper,https://link.springer.com/chapter/10.1007/978-981-95-1822-7_54
springer,57,10.1007/s13721-025-00710-2,A bidirectional neuro-symbolic framework for clinical decision support via dynamic integration of deep learning and symbolic reasoning,Rinku ChavdaK. SureshSushil KumarK. L. Raghavender ReddyB. JayaprakashPrabhat Kumar SahuB. BharathiDevendra SinghSaurabh Namdev,a bidirectional neuro symbolic framework for clinical decision support via dynamic integration of deep learning and symbolic reasoning,rinku chavdak sureshsushil kumark l raghavender reddyb jayaprakashprabhat kumar sahub bharathidevendra singhsaurabh namdev,2026,10.1007/s13721-025-00710-2,Network Modeling Analysis in Health Informatics and Bioinformatics,Article,https://link.springer.com/article/10.1007/s13721-025-00710-2
springer,58,10.1007/s12206-021-1143-6,Fuel injection rate and its variation of a GDI injector operated in engine motoring conditions,Byoung Jin LeeChoong Hoon Lee,fuel injection rate and its variation of a gdi injector operated in engine motoring conditions,byoung jin leechoong hoon lee,2021,10.1007/s12206-021-1143-6,Journal of Mechanical Science and Technology,Article,https://link.springer.com/article/10.1007/s12206-021-1143-6
springer,59,10.1007/s11227-024-06081-1,Fog-Marketing: auction-based multi-tier decentralized markets for fog resource provisioning,Samira ShahinifarMohammad Taghi KheirabadiAli BroumandniaKambiz Rahbar,fog marketing auction based multi tier decentralized markets for fog resource provisioning,samira shahinifarmohammad taghi kheirabadiali broumandniakambiz rahbar,2024,10.1007/s11227-024-06081-1,The Journal of Supercomputing,Article,https://link.springer.com/article/10.1007/s11227-024-06081-1
springer,60,10.1007/978-981-16-9909-2_3,A Method for High Availability Software Programming and Testing,Jingru HuangXilong PeiDongxiu OuJianmin Wang,a method for high availability software programming and testing,jingru huangxilong peidongxiu oujianmin wang,2022,10.1007/978-981-16-9909-2_3,Proceedings of the 5th International Conference on Electrical Engineering and Information Technologies for Rail Transportation (EITRT) 2021,Conference paper,https://link.springer.com/chapter/10.1007/978-981-16-9909-2_3
springer,61,10.1007/978-981-15-7130-5_64,Structural Health Monitoring System for Bridges Using Internet of Things,Pravleen KaurLakshya BhardwajRohit Tanwar,structural health monitoring system for bridges using internet of things,pravleen kaurlakshya bhardwajrohit tanwar,2021,10.1007/978-981-15-7130-5_64,Mobile Radio Communications and 5G Networks,Conference paper,https://link.springer.com/chapter/10.1007/978-981-15-7130-5_64
springer,62,10.1007/s10846-022-01799-7,An Intelligent Thermal Management Fuzzy Logic Control System Design and Analysis Using ANSYS Fluent for a Mobile Robotic Platform in Extreme Weather Applications,Misha AfaqAli JebelliRafiq Ahmad,an intelligent thermal management fuzzy logic control system design and analysis using ansys fluent for a mobile robotic platform in extreme weather applications,misha afaqali jebellirafiq ahmad,2023,10.1007/s10846-022-01799-7,Journal of Intelligent & Robotic Systems,Article,https://link.springer.com/article/10.1007/s10846-022-01799-7
springer,63,10.1007/978-3-031-99586-6_19,End-to-End Trusted Execution Environment (TEE) with Dynamic Holistic View Based Throughput Maximization Approach,Muhammed Akif Ağca,end to end trusted execution environment tee with dynamic holistic view based throughput maximization approach,muhammed akif ağca,2025,10.1007/978-3-031-99586-6_19,Computational Science and Computational Intelligence,Conference paper,https://link.springer.com/chapter/10.1007/978-3-031-99586-6_19
